=== linux 压缩报告 ===
开始时间: 2025年 07月 29日 星期二 10:40:35 CST
源路径: /mnt/dataset2/linux
文件 #15: v2.6.13.tar
  原始大小: 209.26 MiB
  压缩大小: 47.04 MiB
  压缩率: 4.44x
  压缩时间: 5.03 秒
  压缩吞吐量: 41.60 MiB/s
  解压时间: 0.95 秒
  解压吞吐量: 219.99 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.13.tar.zip

文件 #16: v2.6.14-rc1.tar
  原始大小: 212.76 MiB
  压缩大小: 47.03 MiB
  压缩率: 4.52x
  压缩时间: 5.25 秒
  压缩吞吐量: 40.49 MiB/s
  解压时间: 0.96 秒
  解压吞吐量: 221.26 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.14-rc1.tar.zip

文件 #17: v2.6.14-rc2.tar
  原始大小: 212.98 MiB
  压缩大小: 47.08 MiB
  压缩率: 4.52x
  压缩时间: 5.13 秒
  压缩吞吐量: 41.51 MiB/s
  解压时间: 0.96 秒
  解压吞吐量: 222.20 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.14-rc2.tar.zip

文件 #18: v2.6.14-rc3.tar
  原始大小: 213.45 MiB
  压缩大小: 47.20 MiB
  压缩率: 4.52x
  压缩时间: 5.12 秒
  压缩吞吐量: 41.66 MiB/s
  解压时间: 0.96 秒
  解压吞吐量: 221.94 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.14-rc3.tar.zip

文件 #19: v2.6.14-rc4.tar
  原始大小: 213.69 MiB
  压缩大小: 47.25 MiB
  压缩率: 4.52x
  压缩时间: 5.10 秒
  压缩吞吐量: 41.87 MiB/s
  解压时间: 0.96 秒
  解压吞吐量: 221.94 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.14-rc4.tar.zip

文件 #20: v2.6.14-rc5.tar
  原始大小: 213.70 MiB
  压缩大小: 47.25 MiB
  压缩率: 4.52x
  压缩时间: 5.37 秒
  压缩吞吐量: 39.79 MiB/s
  解压时间: 0.97 秒
  解压吞吐量: 220.15 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.14-rc5.tar.zip

文件 #21: v2.6.14.tar
  原始大小: 213.71 MiB
  压缩大小: 48.10 MiB
  压缩率: 4.44x
  压缩时间: 5.47 秒
  压缩吞吐量: 39.05 MiB/s
  解压时间: 0.97 秒
  解压吞吐量: 219.98 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.14.tar.zip

文件 #22: v2.6.15-rc1.tar
  原始大小: 217.68 MiB
  压缩大小: 48.05 MiB
  压缩率: 4.52x
  压缩时间: 5.38 秒
  压缩吞吐量: 40.43 MiB/s
  解压时间: 0.98 秒
  解压吞吐量: 222.12 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15-rc1.tar.zip

文件 #23: v2.6.15-rc2.tar
  原始大小: 217.57 MiB
  压缩大小: 48.04 MiB
  压缩率: 4.52x
  压缩时间: 5.25 秒
  压缩吞吐量: 41.41 MiB/s
  解压时间: 0.98 秒
  解压吞吐量: 221.61 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15-rc2.tar.zip

文件 #24: v2.6.15-rc3.tar
  原始大小: 217.59 MiB
  压缩大小: 48.05 MiB
  压缩率: 4.52x
  压缩时间: 5.18 秒
  压缩吞吐量: 41.97 MiB/s
  解压时间: 0.99 秒
  解压吞吐量: 220.56 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15-rc3.tar.zip

文件 #25: v2.6.15-rc4.tar
  原始大小: 217.61 MiB
  压缩大小: 48.05 MiB
  压缩率: 4.52x
  压缩时间: 5.25 秒
  压缩吞吐量: 41.43 MiB/s
  解压时间: 0.99 秒
  解压吞吐量: 219.27 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15-rc4.tar.zip

文件 #26: v2.6.15-rc5.tar
  原始大小: 217.59 MiB
  压缩大小: 48.05 MiB
  压缩率: 4.52x
  压缩时间: 5.25 秒
  压缩吞吐量: 41.48 MiB/s
  解压时间: 0.99 秒
  解压吞吐量: 220.14 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15-rc5.tar.zip

文件 #27: v2.6.15-rc6.tar
  原始大小: 217.57 MiB
  压缩大小: 48.05 MiB
  压缩率: 4.52x
  压缩时间: 5.38 秒
  压缩吞吐量: 40.44 MiB/s
  解压时间: 0.98 秒
  解压吞吐量: 221.00 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15-rc6.tar.zip

文件 #28: v2.6.15-rc7.tar
  原始大小: 217.58 MiB
  压缩大小: 48.05 MiB
  压缩率: 4.52x
  压缩时间: 5.28 秒
  压缩吞吐量: 41.20 MiB/s
  解压时间: 0.98 秒
  解压吞吐量: 221.92 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15-rc7.tar.zip

文件 #29: v2.6.15.tar
  原始大小: 217.58 MiB
  压缩大小: 48.94 MiB
  压缩率: 4.44x
  压缩时间: 5.25 秒
  压缩吞吐量: 41.45 MiB/s
  解压时间: 0.99 秒
  解压吞吐量: 220.04 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.15.tar.zip

文件 #30: v2.6.16-rc1.tar
  原始大小: 222.30 MiB
  压缩大小: 49.02 MiB
  压缩率: 4.53x
  压缩时间: 5.35 秒
  压缩吞吐量: 41.58 MiB/s
  解压时间: 1.01 秒
  解压吞吐量: 220.69 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.16-rc1.tar.zip

文件 #31: v2.6.16-rc2.tar
  原始大小: 222.85 MiB
  压缩大小: 49.16 MiB
  压缩率: 4.53x
  压缩时间: 5.82 秒
  压缩吞吐量: 38.28 MiB/s
  解压时间: 1.00 秒
  解压吞吐量: 222.09 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.16-rc2.tar.zip

文件 #32: v2.6.16-rc3.tar
  原始大小: 223.03 MiB
  压缩大小: 49.22 MiB
  压缩率: 4.53x
  压缩时间: 5.52 秒
  压缩吞吐量: 40.37 MiB/s
  解压时间: 1.00 秒
  解压吞吐量: 222.30 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.16-rc3.tar.zip

文件 #33: v2.6.16-rc4.tar
  原始大小: 223.09 MiB
  压缩大小: 49.23 MiB
  压缩率: 4.53x
  压缩时间: 5.36 秒
  压缩吞吐量: 41.61 MiB/s
  解压时间: 1.01 秒
  解压吞吐量: 219.92 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.16-rc4.tar.zip

文件 #34: v2.6.16-rc5.tar
  原始大小: 223.07 MiB
  压缩大小: 49.22 MiB
  压缩率: 4.53x
  压缩时间: 5.34 秒
  压缩吞吐量: 41.74 MiB/s
  解压时间: 1.01 秒
  解压吞吐量: 221.77 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.16-rc5.tar.zip

文件 #35: v2.6.16-rc6.tar
  原始大小: 223.09 MiB
  压缩大小: 49.23 MiB
  压缩率: 4.53x
  压缩时间: 5.33 秒
  压缩吞吐量: 41.82 MiB/s
  解压时间: 1.23 秒
  解压吞吐量: 180.79 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.16-rc6.tar.zip

文件 #36: v2.6.16.tar
  原始大小: 223.11 MiB
  压缩大小: 50.13 MiB
  压缩率: 4.45x
  压缩时间: 5.46 秒
  压缩吞吐量: 40.86 MiB/s
  解压时间: 1.01 秒
  解压吞吐量: 220.63 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.16.tar.zip

文件 #37: v2.6.17-rc1.tar
  原始大小: 226.68 MiB
  压缩大小: 49.99 MiB
  压缩率: 4.53x
  压缩时间: 5.68 秒
  压缩吞吐量: 39.92 MiB/s
  解压时间: 1.03 秒
  解压吞吐量: 220.14 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.17-rc1.tar.zip

文件 #38: v2.6.17-rc2.tar
  原始大小: 225.35 MiB
  压缩大小: 49.71 MiB
  压缩率: 4.53x
  压缩时间: 5.49 秒
  压缩吞吐量: 41.08 MiB/s
  解压时间: 1.01 秒
  解压吞吐量: 222.12 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.17-rc2.tar.zip

文件 #39: v2.6.17-rc3.tar
  原始大小: 225.41 MiB
  压缩大小: 49.72 MiB
  压缩率: 4.53x
  压缩时间: 5.39 秒
  压缩吞吐量: 41.81 MiB/s
  解压时间: 1.03 秒
  解压吞吐量: 219.62 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.17-rc3.tar.zip

文件 #40: v2.6.17-rc4.tar
  原始大小: 225.49 MiB
  压缩大小: 49.74 MiB
  压缩率: 4.53x
  压缩时间: 5.42 秒
  压缩吞吐量: 41.64 MiB/s
  解压时间: 1.01 秒
  解压吞吐量: 222.34 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.17-rc4.tar.zip

文件 #41: v2.6.17-rc5.tar
  原始大小: 225.62 MiB
  压缩大小: 49.77 MiB
  压缩率: 4.53x
  压缩时间: 5.56 秒
  压缩吞吐量: 40.54 MiB/s
  解压时间: 1.02 秒
  解压吞吐量: 221.76 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.17-rc5.tar.zip

文件 #42: v2.6.17-rc6.tar
  原始大小: 225.63 MiB
  压缩大小: 49.77 MiB
  压缩率: 4.53x
  压缩时间: 5.54 秒
  压缩吞吐量: 40.69 MiB/s
  解压时间: 1.02 秒
  解压吞吐量: 222.02 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.17-rc6.tar.zip

文件 #43: v2.6.17.tar
  原始大小: 225.64 MiB
  压缩大小: 50.69 MiB
  压缩率: 4.45x
  压缩时间: 5.53 秒
  压缩吞吐量: 40.80 MiB/s
  解压时间: 1.03 秒
  解压吞吐量: 218.31 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.17.tar.zip

文件 #44: v2.6.18-rc1.tar
  原始大小: 228.32 MiB
  压缩大小: 50.34 MiB
  压缩率: 4.53x
  压缩时间: 5.75 秒
  压缩吞吐量: 39.70 MiB/s
  解压时间: 1.14 秒
  解压吞吐量: 201.13 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18-rc1.tar.zip

文件 #45: v2.6.18-rc2.tar
  原始大小: 228.55 MiB
  压缩大小: 50.40 MiB
  压缩率: 4.53x
  压缩时间: 5.47 秒
  压缩吞吐量: 41.74 MiB/s
  解压时间: 1.04 秒
  解压吞吐量: 219.64 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18-rc2.tar.zip

文件 #46: v2.6.18-rc3.tar
  原始大小: 228.56 MiB
  压缩大小: 50.40 MiB
  压缩率: 4.53x
  压缩时间: 5.42 秒
  压缩吞吐量: 42.15 MiB/s
  解压时间: 1.03 秒
  解压吞吐量: 222.44 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18-rc3.tar.zip

文件 #47: v2.6.18-rc4.tar
  原始大小: 228.62 MiB
  压缩大小: 50.42 MiB
  压缩率: 4.53x
  压缩时间: 5.50 秒
  压缩吞吐量: 41.53 MiB/s
  解压时间: 1.03 秒
  解压吞吐量: 221.87 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18-rc4.tar.zip

文件 #48: v2.6.18-rc5.tar
  原始大小: 228.93 MiB
  压缩大小: 50.48 MiB
  压缩率: 4.53x
  压缩时间: 5.56 秒
  压缩吞吐量: 41.21 MiB/s
  解压时间: 1.08 秒
  解压吞吐量: 212.70 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18-rc5.tar.zip

文件 #49: v2.6.18-rc6.tar
  原始大小: 228.98 MiB
  压缩大小: 50.49 MiB
  压缩率: 4.53x
  压缩时间: 5.58 秒
  压缩吞吐量: 41.01 MiB/s
  解压时间: 1.03 秒
  解压吞吐量: 221.94 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18-rc6.tar.zip

文件 #50: v2.6.18-rc7.tar
  原始大小: 228.99 MiB
  压缩大小: 50.49 MiB
  压缩率: 4.53x
  压缩时间: 5.41 秒
  压缩吞吐量: 42.33 MiB/s
  解压时间: 1.16 秒
  解压吞吐量: 198.02 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18-rc7.tar.zip

文件 #51: v2.6.18.tar
  原始大小: 229.01 MiB
  压缩大小: 51.41 MiB
  压缩率: 4.45x
  压缩时间: 5.59 秒
  压缩吞吐量: 40.96 MiB/s
  解压时间: 1.04 秒
  解压吞吐量: 220.48 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.18.tar.zip

文件 #52: v2.6.19-rc1.tar
  原始大小: 234.01 MiB
  压缩大小: 51.48 MiB
  压缩率: 4.54x
  压缩时间: 5.70 秒
  压缩吞吐量: 41.06 MiB/s
  解压时间: 1.06 秒
  解压吞吐量: 221.79 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.19-rc1.tar.zip

文件 #53: v2.6.19-rc2.tar
  原始大小: 234.75 MiB
  压缩大小: 51.66 MiB
  压缩率: 4.54x
  压缩时间: 5.67 秒
  压缩吞吐量: 41.38 MiB/s
  解压时间: 1.06 秒
  解压吞吐量: 221.90 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.19-rc2.tar.zip

文件 #54: v2.6.19-rc3.tar
  原始大小: 234.97 MiB
  压缩大小: 51.72 MiB
  压缩率: 4.54x
  压缩时间: 5.55 秒
  压缩吞吐量: 42.36 MiB/s
  解压时间: 1.06 秒
  解压吞吐量: 222.30 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.19-rc3.tar.zip

文件 #55: v2.6.19-rc4.tar
  原始大小: 235.00 MiB
  压缩大小: 51.73 MiB
  压缩率: 4.54x
  压缩时间: 5.69 秒
  压缩吞吐量: 41.27 MiB/s
  解压时间: 1.07 秒
  解压吞吐量: 219.97 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.19-rc4.tar.zip

文件 #56: v2.6.19-rc5.tar
  原始大小: 235.00 MiB
  压缩大小: 51.73 MiB
  压缩率: 4.54x
  压缩时间: 5.66 秒
  压缩吞吐量: 41.48 MiB/s
  解压时间: 1.13 秒
  解压吞吐量: 207.91 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.19-rc5.tar.zip

文件 #57: v2.6.19-rc6.tar
  原始大小: 235.02 MiB
  压缩大小: 51.74 MiB
  压缩率: 4.54x
  压缩时间: 5.80 秒
  压缩吞吐量: 40.53 MiB/s
  解压时间: 1.66 秒
  解压吞吐量: 141.19 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.19-rc6.tar.zip

文件 #58: v2.6.19.tar
  原始大小: 235.04 MiB
  压缩大小: 52.68 MiB
  压缩率: 4.46x
  压缩时间: 7.60 秒
  压缩吞吐量: 30.91 MiB/s
  解压时间: 1.20 秒
  解压吞吐量: 196.48 MiB/s
  压缩文件: ./compressed_datasets/linux/v2.6.19.tar.zip

文件 #59: v2.6.20-rc1.tar
  原始大小: 238.40 MiB
  压缩大小: 52.43 MiB
  压缩率: 4.54x
  压缩时间: 5.69 秒
  压缩吞吐量: 41.89 MiB/s
  解压时间: 1.07 秒
  解压吞吐量: 222.19 MiB/s
